,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
9,10,DELHI,974.0,800.0,95.0,707.0,0.0,707.0,736.0,503.0,233.0,183.0,125.0,1301.0,1351.0,9471.0,4045.0,5426.0,278.0,227.0,1996.0,43.0,22.0,3314.0,246.0,865.0,165.0,860.0,0.0,709.0,15546.0,6364.0,50928.0,44564.0,0.1249607288721332,0.8750392711278668
12,13,HARYANA,1999.0,1895.0,75.0,801.0,0.0,801.0,860.0,548.0,312.0,511.0,546.0,910.0,3112.0,7517.0,4412.0,3105.0,4073.0,787.0,1797.0,26.0,189.0,7849.0,457.0,534.0,564.0,3533.0,0.0,1227.0,23446.0,9258.0,71886.0,62628.0,0.12878724647358317,0.8712127535264168
31,32,TRIPURA,306.0,107.0,0.0,258.0,0.0,258.0,153.0,113.0,40.0,28.0,0.0,153.0,161.0,478.0,29.0,449.0,601.0,51.0,120.0,14.0,31.0,2571.0,57.0,455.0,9.0,1776.0,0.0,250.0,2483.0,1416.0,10951.0,9535.0,0.12930325997625788,0.8706967400237421
4,5,BIHAR,8898.0,8192.0,562.0,1185.0,1.0,1184.0,5721.0,3565.0,2156.0,1510.0,521.0,1899.0,2301.0,8580.0,2574.0,6006.0,63532.0,3209.0,5435.0,91.0,1206.0,37623.0,3900.0,1036.0,9.0,5134.0,26.0,5604.0,86175.0,35394.0,267835.0,232441.0,0.132148524278007,0.8678514757219931
34,35,WEST BENGAL,3363.0,2243.0,603.0,1870.0,0.0,1870.0,3316.0,2748.0,568.0,696.0,3388.0,1118.0,434.0,14705.0,1865.0,12840.0,16291.0,1246.0,3778.0,271.0,409.0,16308.0,1118.0,2243.0,225.0,17583.0,0.0,2002.0,50398.0,21783.0,163499.0,141716.0,0.1332301726616065,0.8667698273383935
5,6,CHANDIGARH,65.0,107.0,3.0,27.0,0.0,27.0,50.0,33.0,17.0,23.0,8.0,119.0,146.0,645.0,289.0,356.0,165.0,18.0,206.0,0.0,4.0,52.0,3.0,24.0,11.0,24.0,0.0,12.0,978.0,479.0,3412.0,2933.0,0.14038686987104337,0.8596131301289566
0,1,A&N ISLANDS,18.0,19.0,4.0,28.0,0.0,28.0,16.0,14.0,2.0,0.0,0.0,7.0,59.0,61.0,4.0,57.0,42.0,5.0,39.0,0.0,4.0,106.0,0.0,15.0,7.0,8.0,0.0,4.0,386.0,136.0,933.0,797.0,0.1457663451232583,0.8542336548767417
25,26,ODISHA,2340.0,2512.0,100.0,1224.0,0.0,1224.0,1315.0,1107.0,208.0,1966.0,461.0,2541.0,2594.0,7789.0,2257.0,5532.0,9438.0,409.0,1450.0,26.0,691.0,11567.0,858.0,4541.0,313.0,3739.0,3.0,3794.0,27458.0,14998.0,97457.0,82459.0,0.15389351201042512,0.8461064879895749
27,28,PUNJAB,1550.0,2402.0,130.0,598.0,0.0,598.0,880.0,589.0,291.0,99.0,731.0,412.0,2161.0,4480.0,1755.0,2725.0,0.0,367.0,4323.0,109.0,139.0,8740.0,364.0,402.0,34.0,2229.0,0.0,2866.0,12407.0,8280.0,51381.0,43101.0,0.16114906288316694,0.8388509371168331
33,34,UTTARAKHAND,311.0,302.0,92.0,149.0,0.0,149.0,334.0,295.0,39.0,55.0,5.0,284.0,340.0,1248.0,325.0,923.0,1736.0,67.0,406.0,21.0,9.0,1123.0,233.0,153.0,111.0,382.0,0.0,592.0,2713.0,2015.0,12397.0,10382.0,0.16253932403000726,0.8374606759699927
8,9,DAMAN & DIU,7.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,24.0,0.0,12.0,26.0,23.0,13.0,10.0,119.0,2.0,22.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,60.0,361.0,301.0,0.16620498614958448,0.8337950138504155
3,4,ASSAM,1666.0,554.0,48.0,1470.0,0.0,1470.0,3279.0,2838.0,441.0,820.0,21.0,985.0,3228.0,8348.0,1008.0,7340.0,10123.0,823.0,1304.0,130.0,831.0,8159.0,146.0,1794.0,26.0,4894.0,2.0,2413.0,16082.0,13592.0,80243.0,66651.0,0.1693854915693581,0.8306145084306419
15,16,JHARKHAND,2038.0,1804.0,95.0,758.0,0.0,758.0,1361.0,901.0,460.0,703.0,139.0,806.0,831.0,3666.0,1029.0,2637.0,7546.0,419.0,991.0,20.0,168.0,7060.0,536.0,340.0,16.0,1346.0,1.0,1202.0,19223.0,9823.0,56854.0,47031.0,0.1727758820839343,0.8272241179160658
2,3,ARUNACHAL PRADESH,62.0,27.0,3.0,47.0,0.0,47.0,100.0,67.0,33.0,22.0,0.0,100.0,150.0,320.0,92.0,228.0,45.0,41.0,79.0,2.0,31.0,578.0,0.0,69.0,0.0,16.0,0.0,86.0,534.0,508.0,2779.0,2271.0,0.1827995681899964,0.8172004318100036
32,33,UTTAR PRADESH,14093.0,12240.0,3801.0,3571.0,0.0,3571.0,21986.0,19299.0,2687.0,2154.0,199.0,5813.0,4876.0,17719.0,5314.0,12405.0,37854.0,7155.0,27399.0,218.0,1323.0,26108.0,9795.0,5252.0,3.0,33465.0,0.0,12935.0,136646.0,89414.0,427881.0,338467.0,0.20896931623512144,0.7910306837648785
24,25,NAGALAND,27.0,52.0,6.0,27.0,0.0,27.0,51.0,3.0,48.0,10.0,0.0,61.0,61.0,251.0,48.0,203.0,0.0,25.0,34.0,10.0,3.0,59.0,0.0,12.0,0.0,1.0,0.0,10.0,367.0,312.0,1396.0,1084.0,0.22349570200573066,0.7765042979942693
22,23,MEGHALAYA,156.0,33.0,2.0,128.0,0.0,128.0,77.0,18.0,59.0,70.0,0.0,69.0,83.0,389.0,53.0,336.0,13.0,24.0,114.0,23.0,12.0,190.0,3.0,58.0,0.0,34.0,2.0,73.0,582.0,740.0,2729.0,1989.0,0.2711615976548186,0.7288384023451814
21,22,MANIPUR,94.0,112.0,1.0,24.0,0.0,24.0,120.0,94.0,26.0,0.0,136.0,3.0,22.0,189.0,76.0,113.0,70.0,8.0,47.0,1.0,6.0,119.0,5.0,24.0,1.0,22.0,0.0,10.0,435.0,634.0,1782.0,1148.0,0.3557800224466891,0.6442199775533108
