,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
25,26,ODISHA,2051.0,2824.0,105.0,1363.0,0.0,1363.0,1297.0,1070.0,227.0,2008.0,555.0,2571.0,3620.0,7098.0,1968.0,5130.0,9961.0,559.0,1532.0,55.0,642.0,11357.0,988.0,4116.0,354.0,4840.0,5.0,4084.0,27790.0,15434.0,99533.0,84099.0,0.15506414957853173,0.8449358504214682
5,6,CHANDIGARH,45.0,76.0,18.0,44.0,0.0,44.0,51.0,23.0,28.0,24.0,36.0,105.0,153.0,492.0,168.0,324.0,257.0,7.0,140.0,4.0,7.0,75.0,10.0,28.0,2.0,18.0,0.0,6.0,985.0,494.0,3170.0,2676.0,0.15583596214511042,0.8441640378548896
15,16,JHARKHAND,2095.0,1692.0,103.0,836.0,0.0,836.0,1040.0,710.0,330.0,604.0,98.0,707.0,741.0,3056.0,1013.0,2043.0,9103.0,441.0,896.0,31.0,241.0,7272.0,567.0,273.0,20.0,1600.0,15.0,1189.0,19063.0,9051.0,56615.0,47564.0,0.1598692925903029,0.8401307074096971
3,4,ASSAM,1537.0,471.0,43.0,1629.0,5.0,1624.0,3190.0,2687.0,503.0,816.0,69.0,1094.0,3970.0,9079.0,1357.0,7722.0,10112.0,1000.0,1271.0,88.0,826.0,8132.0,263.0,2020.0,35.0,6208.0,0.0,2471.0,15566.0,13668.0,83788.0,70120.0,0.16312598462787034,0.8368740153721297
27,28,PUNJAB,1547.0,2613.0,181.0,766.0,0.0,766.0,1007.0,646.0,361.0,163.0,704.0,468.0,2350.0,4749.0,1652.0,3097.0,0.0,354.0,4733.0,127.0,157.0,9382.0,288.0,454.0,42.0,2159.0,0.0,2623.0,14183.0,9222.0,55572.0,46350.0,0.1659468797236018,0.8340531202763982
31,32,TRIPURA,176.0,77.0,9.0,320.0,0.0,320.0,133.0,106.0,27.0,35.0,6.0,115.0,223.0,435.0,27.0,408.0,352.0,53.0,127.0,9.0,52.0,1479.0,62.0,456.0,9.0,1172.0,0.0,235.0,1300.0,1324.0,7723.0,6399.0,0.1714359704777936,0.8285640295222064
2,3,ARUNACHAL PRADESH,103.0,58.0,3.0,49.0,0.0,49.0,81.0,48.0,33.0,33.0,0.0,116.0,176.0,376.0,109.0,267.0,100.0,42.0,92.0,0.0,30.0,595.0,0.0,88.0,1.0,11.0,0.0,83.0,788.0,573.0,3331.0,2758.0,0.172020414290003,0.827979585709997
8,9,DAMAN & DIU,19.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,20.0,32.0,16.0,16.0,41.0,6.0,7.0,0.0,0.0,16.0,0.0,2.0,0.0,6.0,0.0,26.0,54.0,57.0,299.0,242.0,0.19063545150501673,0.8093645484949833
32,33,UTTAR PRADESH,11784.0,10207.0,3592.0,2580.0,5.0,2575.0,13727.0,11903.0,1824.0,1963.0,290.0,5147.0,4271.0,15194.0,4289.0,10905.0,29922.0,6572.0,20166.0,280.0,360.0,23829.0,9250.0,4189.0,15.0,29853.0,0.0,13053.0,85806.0,65597.0,323551.0,257954.0,0.20274083529335407,0.7972591647066459
24,25,NAGALAND,37.0,47.0,10.0,17.0,0.0,17.0,90.0,13.0,77.0,23.0,0.0,72.0,49.0,267.0,42.0,225.0,7.0,19.0,35.0,9.0,0.0,40.0,0.0,15.0,3.0,3.0,0.0,14.0,309.0,403.0,1440.0,1037.0,0.2798611111111111,0.7201388888888889
22,23,MEGHALAYA,133.0,48.0,6.0,135.0,0.0,135.0,104.0,41.0,63.0,72.0,1.0,69.0,105.0,343.0,73.0,270.0,25.0,26.0,68.0,10.0,28.0,84.0,0.0,29.0,0.0,11.0,0.0,34.0,412.0,807.0,2325.0,1518.0,0.3470967741935484,0.6529032258064517
21,22,MANIPUR,57.0,95.0,0.0,22.0,0.0,22.0,120.0,83.0,37.0,0.0,223.0,0.0,27.0,105.0,32.0,73.0,52.0,8.0,50.0,8.0,2.0,130.0,0.0,23.0,0.0,13.0,0.0,1.0,370.0,659.0,1553.0,894.0,0.42433998712169996,0.5756600128783
