SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GOA,33,2,195,184,25,159,0,0,0,11,1,4,33,0,1,4,340,264,24,174,48,16,2,76,21,47,0,2,0,6,0,24,119,47,36,1,2,0,33,6,4,26,71,52,31,21,0,0,0,1,0,0,18,28,6,0,0,72,0,3,936,0,0,0,0,15,103,0,3,0,0,0,0,0,1,0,29,0,42,0,1,0,27,0,0,0,0,118,515,208,307,124,31,93,7,11,0,3,3,0,0,0,31,0,691,3,0,0,0,3,131,37,7,1,1,28,89,5,134,1,15,0,0,329,18,131,180,0,1,0,4,1,9,10,51,9,0,110,37,577,9
12,GUJARAT,993,87,6796,6711,966,5745,0,2,0,83,9,513,910,45,4,148,9127,6856,639,5370,460,353,34,2271,1678,535,10,3,6,39,0,55,1048,495,384,14,12,32,326,49,15,105,1813,908,581,327,1,4,64,621,0,0,215,6,2,0,0,528,1,26,22111,0,0,0,0,196,1353,22,26,6,13,40,112,2,22,29,94,63,263,1,2,32,626,37,37,0,106,1692,14282,7157,7125,3533,491,3042,464,1035,4,208,204,4,15,6,517,3,20067,84,1,1,0,82,3208,266,26,36,47,157,2658,284,3292,2,3422,8,0,32828,23622,3414,5792,35339,10,62,47,34,65,180,368,3619,21,14090,16,90111,2230
13,HARYANA,1137,50,5392,5155,879,4276,0,19,4,214,248,598,923,13,72,119,5634,4245,1732,1623,752,60,78,1389,1254,105,5,3,1,21,0,5746,2581,669,916,32,20,29,835,456,34,506,4023,702,190,512,0,9,18,1215,808,0,1271,10,1,0,0,1480,194,64,28285,2,2,0,2,0,2268,50,0,38,1,42,0,62,61,9,380,453,404,0,0,0,768,17,17,0,1100,3385,25792,17618,8174,7733,1255,6478,354,620,70,153,153,0,15,0,1563,321,36621,23,1,0,0,22,4908,2077,409,705,148,815,2250,581,4931,12,1773,1,2,6660,460,5045,1155,169,3,297,55,3,106,293,1924,4867,1,3022,173,19361,18738
14,HIMACHAL PRADESH,70,19,732,671,65,606,0,1,2,58,4,72,54,1,18,7,3525,3109,2661,188,160,100,0,416,398,5,1,0,12,0,0,402,498,186,175,5,1,0,169,17,3,117,455,235,63,172,0,2,0,182,3,0,33,0,0,0,0,359,5,12,6233,1,1,0,1,57,372,0,0,4,1,0,0,10,10,6,85,26,36,0,6,1,187,2,1,1,7,438,477,230,247,452,111,341,6,12,0,1,1,0,0,0,149,2,1099,4,0,0,0,4,488,125,20,10,10,85,324,39,492,3,19,0,0,2225,305,1095,825,2147,0,1,16,0,15,65,962,228,7,187,72,5947,270
15,JAMMU & KASHMIR,119,17,731,678,98,580,0,0,3,50,8,36,420,0,291,16,2586,2520,1972,21,463,62,2,66,25,6,2,0,32,1,0,810,1440,1385,1,1,0,0,0,35,1,18,961,388,61,327,0,12,0,380,0,0,181,0,0,0,0,223,13,13,7684,16,11,5,16,0,1022,0,0,0,2,0,0,1,0,0,161,182,12,0,0,559,105,10,10,0,0,1032,1923,986,937,1239,196,1043,1,73,0,1,1,0,0,0,42,0,3279,5,0,0,0,5,574,73,8,7,0,58,290,211,579,3,560,0,0,5216,678,4342,196,0,0,45,10,3,5,177,1079,347,9,41,15,7510,2304
16,JHARKHAND,1626,66,3754,3529,1836,1693,8,13,0,204,299,86,1920,0,1,9,6895,5197,4084,307,28,208,570,1698,1183,351,1,0,27,0,136,12,1646,923,149,6,3,0,140,494,41,39,1814,519,22,497,4,112,65,585,302,0,227,120,6,2,6,1416,234,4,19916,3,3,0,3,85,2207,54,4,15,27,22,16,5,6,14,287,164,41,3,0,5,1544,9,9,0,0,2301,10441,4923,5518,1748,114,1634,718,666,1,134,133,1,0,0,351,408,14467,3,0,0,2,1,3619,498,35,82,109,272,2316,805,3622,58,32,0,2,1493,346,413,734,2,0,0,21,0,0,106,232,1426,0,148,7,3527,6212
17,KARNATAKA,1314,75,10490,10080,973,9107,0,7,50,353,194,610,2569,25,117,218,17363,15182,4180,9808,1060,130,4,2181,267,912,7,2,189,804,0,387,4937,3213,559,37,49,32,441,954,33,178,3080,2775,2354,421,3,1,49,55,58,0,139,32,0,0,0,505,12,6,41934,36,22,14,36,0,4107,11,9,32,40,28,147,14,84,46,1105,148,659,2,9,7,1766,60,60,0,345,4512,18840,9062,9778,5157,1075,4082,163,1865,47,226,225,1,521,5,443,0,27267,31,0,1,0,30,6321,663,86,20,10,547,5254,404,6352,358,108,0,12,30527,3476,10529,16522,805,2,27,197,3,377,284,1547,2472,15,2081,107,38922,1142
18,KERALA,323,93,3546,3476,159,3317,0,8,1,61,8,63,729,2209,53,22,18910,16728,7383,8428,753,91,73,2182,667,1185,8,1,76,241,4,143,4507,3034,898,41,38,2,817,166,107,302,386,267,39,228,1,1,7,38,20,0,52,140,1,0,0,2023,51,126,33333,7,4,3,7,1140,3514,21,9,0,495,0,0,143,10,0,78,69,777,0,1228,72,612,83,80,3,1294,6031,3401,1250,2151,2293,502,1791,71,741,37,87,87,0,23,0,204,0,6857,33,6,0,0,27,6347,244,31,13,5,195,5731,372,6380,25,69,1,0,105175,70149,6377,28649,6358,2,676,5,23,74,389,2077,2970,14,1168,435,119461,3741
19,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,26,24,20,4,0,0,0,2,0,0,0,0,2,0,0,1,5,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,11,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,19,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,8,0,0,0,8,21,22
20,MADHYA PRADESH,1795,155,11440,10930,7611,3319,8,21,1,480,550,931,1750,66,32,301,68640,63546,42931,16555,1320,1156,1584,5094,3972,582,12,2,58,246,222,1443,5585,3115,1398,35,50,48,1265,64,85,923,9812,7970,5282,2688,0,15,20,1626,22,0,159,36,3,7,1,2485,39,73,105144,1,1,0,1,2,1110,32,3,3,21,22,20,2,15,5,44,80,89,0,5,66,703,61,53,8,41,1214,29270,16071,13199,9661,977,8684,288,1290,41,85,82,3,167,4,612,21,41439,22,0,0,1,21,2718,831,119,118,27,567,1564,323,2740,23,1542,9,16,41241,3629,30789,6823,1058,15,8754,231,12,456,703,2325,5486,59,17636,174,79740,16192
