,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
6,7,CHHATTISGARH_2011,1683.0,1297.0,41.0,1257.0,0.0,1257.0,500.0,372.0,128.0,235.0,42.0,692.0,2452.0,2955.0,795.0,2160.0,5064.0,229.0,1038.0,61.0,278.0,19195.0,287.0,1948.0,250.0,2200.0,5535.0,46416.0,0.11924767321613237
7,8,D&N HAVELI_2009,7.0,12.0,4.0,0.0,16.0,12.0,4.0,20.0,0.0,2.0,60.0,2.0,58.0,281.0,16.0,15.0,0.0,2.0,36.0,0.0,2.0,0.0,0.0,0.0,13.0,153.0,51.0,715.0,0.07132867132867132
7,8,D&N HAVELI_2010,7.0,0.0,1.0,3.0,0.0,3.0,20.0,7.0,13.0,11.0,0.0,0.0,38.0,62.0,25.0,37.0,199.0,16.0,21.0,0.0,0.0,24.0,0.0,12.0,2.0,14.0,14.0,515.0,0.027184466019417475
7,8,D&N HAVELI_2011,24.0,14.0,0.0,4.0,0.0,4.0,7.0,3.0,4.0,18.0,0.0,0.0,44.0,84.0,30.0,54.0,125.0,14.0,33.0,0.0,5.0,31.0,0.0,2.0,1.0,4.0,46.0,505.0,0.09108910891089109
8,9,DAMAN & DIU_2009,11.0,12.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,5.0,22.0,6.0,16.0,183.0,4.0,5.0,0.0,3.0,12.0,0.0,5.0,1.0,4.0,0.0,28.0,97.0,33.0,432.0,0.0763888888888889
8,9,DAMAN & DIU_2010,19.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,20.0,32.0,16.0,16.0,41.0,6.0,7.0,0.0,0.0,16.0,0.0,2.0,0.0,6.0,30.0,219.0,0.136986301369863
8,9,DAMAN & DIU_2011,7.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,24.0,0.0,12.0,26.0,23.0,13.0,10.0,119.0,2.0,22.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,8.0,298.0,0.026845637583892617
9,10,DELHI_2009,889.0,716.0,103.0,0.0,625.0,375.0,250.0,172.0,328.0,1093.0,7918.0,3394.0,4524.0,406.0,188.0,1554.0,54.0,15.0,3106.0,242.0,710.0,132.0,658.0,0.0,708.0,14848.0,2708.0,43008.0,0.06296502976190477
9,10,DELHI_2010,953.0,621.0,80.0,602.0,0.0,602.0,512.0,366.0,146.0,164.0,153.0,1263.0,1002.0,7401.0,3311.0,4090.0,427.0,180.0,1036.0,42.0,29.0,3125.0,209.0,794.0,89.0,878.0,2858.0,28075.0,0.10179875333926981
9,10,DELHI_2011,974.0,800.0,95.0,707.0,0.0,707.0,736.0,503.0,233.0,183.0,125.0,1301.0,1351.0,9471.0,4045.0,5426.0,278.0,227.0,1996.0,43.0,22.0,3314.0,246.0,865.0,165.0,860.0,3283.0,34673.0,0.09468462492429268
10,11,GOA_2009,88.0,88.0,12.0,0.0,40.0,18.0,22.0,16.0,0.0,51.0,430.0,115.0,315.0,305.0,46.0,120.0,7.0,34.0,316.0,3.0,35.0,10.0,46.0,0.0,185.0,988.0,246.0,3290.0,0.07477203647416414
10,11,GOA_2010,44.0,58.0,6.0,50.0,0.0,50.0,43.0,15.0,28.0,18.0,0.0,75.0,316.0,621.0,205.0,416.0,319.0,44.0,105.0,3.0,29.0,290.0,5.0,37.0,22.0,41.0,208.0,2840.0,0.07323943661971831
10,11,GOA_2011,87.0,62.0,4.0,34.0,0.0,34.0,45.0,16.0,29.0,5.0,0.0,45.0,298.0,463.0,140.0,323.0,323.0,25.0,114.0,27.0,27.0,342.0,2.0,28.0,16.0,21.0,221.0,2510.0,0.08804780876494024
11,12,GUJARAT_2009,2130.0,2199.0,39.0,0.0,1848.0,1494.0,354.0,1016.0,60.0,1452.0,10263.0,3734.0,6529.0,10566.0,1986.0,1585.0,110.0,457.0,20253.0,53.0,1025.0,188.0,17595.0,0.0,3854.0,74160.0,7710.0,162950.0,0.047315127339674745
11,12,GUJARAT_2010,2116.0,1982.0,89.0,617.0,0.0,617.0,2015.0,1651.0,364.0,938.0,98.0,1980.0,3081.0,9697.0,3988.0,5709.0,11506.0,1844.0,2044.0,51.0,459.0,22554.0,28.0,986.0,131.0,16877.0,5421.0,91422.0,0.059296449432302945
11,12,GUJARAT_2011,2408.0,1788.0,76.0,621.0,0.0,621.0,2235.0,1888.0,347.0,1137.0,154.0,1654.0,3377.0,9509.0,3575.0,5934.0,12280.0,2355.0,2604.0,69.0,585.0,23396.0,62.0,1051.0,168.0,18141.0,5514.0,96035.0,0.05741656687665955
12,13,HARYANA_2009,1842.0,1685.0,103.0,0.0,909.0,530.0,379.0,540.0,1031.0,1214.0,5855.0,2871.0,2984.0,5465.0,610.0,1385.0,50.0,175.0,10220.0,633.0,553.0,717.0,3661.0,0.0,1125.0,25696.0,5069.0,70233.0,0.07217404923611408
12,13,HARYANA_2010,1961.0,1792.0,106.0,866.0,0.0,866.0,903.0,543.0,360.0,457.0,898.0,1210.0,2588.0,6754.0,3436.0,3318.0,5169.0,698.0,1619.0,56.0,300.0,9002.0,589.0,605.0,635.0,4057.0,5591.0,48788.0,0.11459785193080266
12,13,HARYANA_2011,1999.0,1895.0,75.0,801.0,0.0,801.0,860.0,548.0,312.0,511.0,546.0,910.0,3112.0,7517.0,4412.0,3105.0,4073.0,787.0,1797.0,26.0,189.0,7849.0,457.0,534.0,564.0,3533.0,5571.0,47213.0,0.11799716179865714
13,14,HIMACHAL PRADESH_2009,191.0,146.0,26.0,0.0,148.0,102.0,46.0,28.0,0.0,39.0,605.0,147.0,458.0,3002.0,108.0,214.0,4.0,84.0,1919.0,3.0,345.0,40.0,648.0,0.0,383.0,10303.0,613.0,18989.0,0.03228184738532835
13,14,HIMACHAL PRADESH_2010,193.0,198.0,17.0,197.0,0.0,197.0,161.0,101.0,60.0,1.0,0.0,18.0,450.0,680.0,133.0,547.0,3359.0,96.0,262.0,5.0,99.0,2046.0,4.0,418.0,73.0,677.0,802.0,9992.0,0.08026421136909527
13,14,HIMACHAL PRADESH_2011,186.0,115.0,14.0,187.0,0.0,187.0,145.0,134.0,11.0,5.0,0.0,31.0,635.0,864.0,227.0,637.0,2613.0,98.0,297.0,11.0,89.0,1708.0,8.0,373.0,56.0,507.0,689.0,9138.0,0.07539943094769096
14,15,JAMMU & KASHMIR_2009,432.0,947.0,20.0,0.0,725.0,696.0,29.0,10.0,0.0,110.0,3148.0,263.0,2885.0,5837.0,129.0,470.0,52.0,123.0,727.0,46.0,2044.0,512.0,469.0,0.0,337.0,16216.0,2820.0,36227.0,0.07784249316807906
14,15,JAMMU & KASHMIR_2010,318.0,930.0,31.0,266.0,0.0,266.0,570.0,509.0,61.0,4.0,0.0,82.0,658.0,2489.0,264.0,2225.0,5970.0,280.0,621.0,33.0,165.0,654.0,26.0,2053.0,295.0,418.0,1811.0,19188.0,0.09438190535751512
