,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
30,31,TAMIL NADU_2011,4128.0,8254.0,31.0,837.0,0.0,837.0,2153.0,1778.0,375.0,436.0,38.0,2439.0,3781.0,12709.0,3106.0,9603.0,16552.0,287.0,3708.0,120.0,700.0,37934.0,336.0,2092.0,490.0,2879.0,14087.0,115603.0,0.12185669922060846
31,32,TRIPURA_2009,206.0,75.0,4.0,0.0,176.0,125.0,51.0,26.0,0.0,85.0,389.0,30.0,359.0,451.0,61.0,147.0,29.0,67.0,2072.0,60.0,434.0,10.0,1760.0,0.0,225.0,2162.0,586.0,9004.0,0.06508218569524656
31,32,TRIPURA_2010,176.0,77.0,9.0,320.0,0.0,320.0,133.0,106.0,27.0,35.0,6.0,115.0,223.0,435.0,27.0,408.0,352.0,53.0,127.0,9.0,52.0,1479.0,62.0,456.0,9.0,1172.0,902.0,6188.0,0.1457659987071752
31,32,TRIPURA_2011,306.0,107.0,0.0,258.0,0.0,258.0,153.0,113.0,40.0,28.0,0.0,153.0,161.0,478.0,29.0,449.0,601.0,51.0,120.0,14.0,31.0,2571.0,57.0,455.0,9.0,1776.0,929.0,8218.0,0.1130445363835483
32,33,UTTAR PRADESH_2009,12365.0,10499.0,3551.0,0.0,12393.0,10487.0,1906.0,1649.0,292.0,4655.0,16084.0,4522.0,11562.0,26919.0,6252.0,17605.0,786.0,424.0,23735.0,9203.0,4026.0,3878.0,31807.0,0.0,11637.0,80430.0,49295.0,306667.0,0.16074439049522773
32,33,UTTAR PRADESH_2010,11784.0,10207.0,3592.0,2580.0,5.0,2575.0,13727.0,11903.0,1824.0,1963.0,290.0,5147.0,4271.0,15194.0,4289.0,10905.0,29922.0,6572.0,20166.0,280.0,360.0,23829.0,9250.0,4189.0,15.0,29853.0,30743.0,224692.0,0.1368228508358108
32,33,UTTAR PRADESH_2011,14093.0,12240.0,3801.0,3571.0,0.0,3571.0,21986.0,19299.0,2687.0,2154.0,199.0,5813.0,4876.0,17719.0,5314.0,12405.0,37854.0,7155.0,27399.0,218.0,1323.0,26108.0,9795.0,5252.0,3.0,33465.0,37276.0,278300.0,0.13394178943586058
33,34,UTTARAKHAND_2009,388.0,324.0,67.0,0.0,213.0,191.0,22.0,104.0,36.0,259.0,1132.0,332.0,800.0,1541.0,118.0,556.0,43.0,16.0,1156.0,218.0,178.0,419.0,890.0,0.0,572.0,3143.0,1183.0,12718.0,0.09301777008963674
33,34,UTTARAKHAND_2010,324.0,395.0,184.0,171.0,0.0,171.0,346.0,293.0,53.0,54.0,7.0,235.0,291.0,1452.0,451.0,1001.0,2104.0,109.0,505.0,33.0,4.0,1492.0,168.0,184.0,282.0,625.0,1245.0,10934.0,0.11386500823120542
33,34,UTTARAKHAND_2011,311.0,302.0,92.0,149.0,0.0,149.0,334.0,295.0,39.0,55.0,5.0,284.0,340.0,1248.0,325.0,923.0,1736.0,67.0,406.0,21.0,9.0,1123.0,233.0,153.0,111.0,382.0,1003.0,9092.0,0.11031676198856137
34,35,WEST BENGAL_2009,3498.0,1590.0,645.0,0.0,2291.0,28136.0,333.0,674.0,2509.0,830.0,12298.0,1909.0,10389.0,14870.0,804.0,2618.0,200.0,346.0,10877.0,1002.0,1640.0,120.0,13884.0,7.0,2456.0,38240.0,36160.0,152166.0,0.2376352141739942
34,35,WEST BENGAL_2010,3746.0,1869.0,809.0,2395.0,0.0,2395.0,2698.0,2254.0,444.0,922.0,2574.0,1034.0,360.0,15051.0,2156.0,12895.0,18018.0,1086.0,2882.0,324.0,378.0,15293.0,1124.0,1841.0,165.0,18387.0,11214.0,111100.0,0.10093609360936094
34,35,WEST BENGAL_2011,3363.0,2243.0,603.0,1870.0,0.0,1870.0,3316.0,2748.0,568.0,696.0,3388.0,1118.0,434.0,14705.0,1865.0,12840.0,16291.0,1246.0,3778.0,271.0,409.0,16308.0,1118.0,2243.0,225.0,17583.0,9949.0,111099.0,0.08955076103295259
