SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
,TOTAL (ALL-INDIA),70593,76074,7088,28878,1,28877,57483,45363,12120,17008,11379,35546,68368,204207,57592,146615,353986,24044,92864,2130,12380,515898,24578,53767,9880,180701,221,90313,1208459,3145845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MURDER (SECTION 302 IPC) DURING 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ATTEMPT TO COMMIT MURDER (SECTION 307 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C3  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RAPE (SECTION 376 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CUSTODIAL RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C7  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF OTHERS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DACOITY (SECTION  395 TO 398 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ROBBERY (SECTION 392 TO 394, 397, 398 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER THEFT (SECTION 379 TO 382 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER AUTO THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C17 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRIMINAL BREACH OF TRUST (SECTION 406 TO 409) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CHEATING (SECTION 419 TO 420 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C21 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ARSON (SECTION 435, 436, 438 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C22 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C23 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DOWRY DEATHS (SECTION 304B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MOLESTATION (SECTION 354 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER SEXUAL HARASSMENT (EVE-TEASING) (SECTION 509 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRUELTY BY HUSBAND AND RELATIVES (SECTION 498A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER IMPORTATION OF GIRLS (SECTION 366B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C28 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER TOTAL COGNIZABLE IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
