SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andaman and Nicobar,5,1,21,12,3,9,0,1,0,8,0,1,8,5,0,1,85,53,20,20,13,0,0,32,22,4,0,0,0,6,0,0,15,2,7,2,0,0,5,1,2,3,7,6,3,3,0,0,0,0,0,0,1,1,0,0,0,2,1,0,153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,5,25,1,24,24,13,11,3,0,0,1,1,0,0,1,3,0,57,1,0,0,0,1,21,5,2,0,0,3,15,1,22,0,73,0,0,129,0,75,54,0,0,0,0,0,2,0,2,2,0,0,3,211,34
2,ANDHRA PRADESH,853,137,6645,6415,491,5924,7,3,0,220,111,495,1298,6,330,30,22214,21039,2850,15801,1153,1150,85,1175,139,446,7,1,29,494,59,1174,4886,2541,1009,70,16,51,872,256,124,956,737,465,78,387,1,1,24,104,53,0,89,38,53,0,0,1095,141,9,40252,0,0,0,0,60,431,1,0,2,30,2,2,0,4,11,84,20,48,0,3,35,189,142,142,0,1327,1960,9508,3546,5962,3386,555,2831,320,237,3,39,39,0,3,6,852,30,14384,27,1,0,0,26,6588,1695,339,105,115,1136,4776,117,6615,107,72183,0,3155,12642,2398,7022,3222,9,2,53,26,36,151,405,3409,6546,98,2052,2342,103216,22570
3,ARUNACHAL PRADESH,45,4,88,55,9,46,0,0,0,33,0,2,37,0,0,0,262,156,106,40,0,0,10,106,64,41,0,0,1,0,0,1,73,61,4,0,0,1,3,1,1,6,78,47,26,21,0,0,4,5,2,0,20,1,0,0,0,60,2,1,654,1,1,0,1,0,10,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,7,7,0,0,17,395,141,254,140,8,132,90,48,0,7,7,0,0,0,25,0,705,0,0,0,0,0,121,6,2,0,0,4,84,31,121,0,34,0,0,90,22,20,48,0,0,0,0,3,0,17,43,69,1,2,3,262,484
4,ASSAM,1131,45,3088,2472,885,1587,0,9,0,607,148,104,1316,5,16,50,18479,7808,4819,1899,210,264,616,10671,7044,2751,4,2,223,268,379,1735,4642,2487,620,28,0,0,592,1208,107,220,6934,1600,342,1258,6,6,33,2929,1052,0,1308,103,2,1,0,1657,485,3,39944,25,12,13,25,755,829,17,0,0,0,0,12,0,5,0,281,58,28,0,4,1,423,147,147,0,24,1755,14391,4005,10386,4500,506,3994,1366,1577,71,198,198,0,5,145,2284,47,24584,63,0,0,1,62,7537,1559,790,140,65,564,5495,483,7600,147,923,0,18,3744,229,779,2736,12,41,868,14,326,279,633,1812,11408,11,1036,90,21362,16288
5,BIHAR,3150,94,6505,6467,1216,5251,0,0,0,38,1046,47,11784,1367,8,3,98502,85332,67516,17028,267,482,39,13170,12171,784,3,2,59,114,37,133,584,400,26,0,7,0,19,111,18,29,7889,1218,633,585,0,66,42,5308,0,0,1255,32,0,3,0,806,69,1,132023,0,0,0,0,3,9422,117,34,0,2,208,1286,42,234,341,4838,1801,327,0,0,77,115,9,9,0,0,9434,31982,20561,11421,4031,21,4010,586,1902,0,222,218,4,63,1,586,847,40220,13,0,0,0,13,7358,1452,96,652,509,195,4299,1607,7371,159,176,0,0,2478,268,1599,611,0,2,0,6,7,1,195,233,1935,144,143,6,5485,165
6,CHANDIGARH,22,5,43,41,16,25,0,0,2,0,1,3,35,2,1,6,107,81,36,22,21,2,0,26,19,5,1,0,0,1,0,0,42,20,10,0,0,0,10,1,0,11,118,94,92,2,0,0,0,19,0,0,5,2,0,0,0,60,3,4,454,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,24,0,0,0,6,37,614,418,196,78,19,59,6,23,0,1,1,0,1,0,8,13,744,1,0,0,0,1,147,22,0,0,0,22,124,1,148,0,771,0,0,116,17,88,11,39,0,1,3,1,0,5,15,96,0,0,4,1051,149
7,CHHATTISGARH,972,41,4525,4066,1749,2317,0,1,2,456,71,211,720,2,7,70,21740,20718,18093,1753,155,606,111,1022,836,114,1,0,40,30,1,229,1461,1187,171,5,2,1,163,35,9,59,2008,1682,606,1076,0,3,8,245,0,0,70,35,0,0,0,1210,118,14,33434,0,0,0,0,20,1019,0,2,2,10,2,6,2,1,1,32,7,42,0,11,5,896,35,32,3,1,1075,6040,3053,2987,3652,381,3271,71,458,3,85,84,1,5,0,168,2,10484,8,0,1,0,7,1448,362,39,28,6,289,1052,34,1456,1,1630,0,0,6745,1233,4472,1040,195,1,432,83,1,18,290,245,641,17,1964,279,12542,6225
8,D&N HAVELI,7,0,46,37,17,20,0,0,0,9,0,1,0,0,0,0,15,11,6,3,2,0,0,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1,0,0,6,24,11,13,10,3,7,1,4,0,2,2,0,0,0,0,0,41,0,0,0,0,0,12,6,0,0,6,0,3,3,12,1,44,0,0,19,0,0,19,0,0,0,0,0,0,2,2,1,0,0,1,70,7
9,DAMAN & DIU,6,0,27,21,5,16,0,0,0,6,1,0,2,1,0,0,4,1,0,1,0,0,0,3,2,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,15,14,14,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,10,2,8,1,2,0,0,0,0,0,0,0,0,29,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,18,0,0,13,0,4,9,0,0,0,0,0,0,1,1,2,0,0,1,36,12
10,DELHI,472,58,1413,1163,532,631,0,3,2,245,110,84,570,573,8,88,3922,3511,2366,695,202,132,116,411,285,84,2,4,10,26,0,12,1840,970,326,12,11,0,303,279,30,235,4062,3743,1784,1959,0,0,11,2,0,0,306,42,0,0,0,997,9,36,14296,5,5,0,5,0,689,520,0,0,0,0,0,1,0,0,0,2,1,0,1,3,161,36,36,0,143,868,177439,35019,142420,2199,473,1726,120,1963,0,9,9,0,0,1,271,26,182028,32,0,0,0,32,4221,1461,245,96,206,914,2539,221,4253,4,32648,0,0,3243,228,2859,156,6787,1,1,30,9,15,70,182,2557,30,34,416,46027,1715
