,Year,State_Name,Name,Start_Date,End_Date,Party
1504,2010,Uttar_Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,
1505,2011,Uttar_Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,
1506,2012,Uttar_Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,
1507,2012,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1508,2013,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1509,2014,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1510,2015,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1511,2016,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1512,2017,Uttar_Pradesh,Sri Akhilesh Yadav,2012-03-15,2017-03-19,
1513,2000,Uttarakhand,Shri Nityanand Swami,2000-09-11,2001-10-29,
1514,2001,Uttarakhand,Shri Nityanand Swami,2000-09-11,2001-10-29,
1515,2001,Uttarakhand,Shri Bhagat Singh koshiyari,2001-10-30,2002-01-03,
1516,2002,Uttarakhand,Shri Bhagat Singh koshiyari,2001-10-30,2002-01-03,
1517,2002,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1518,2003,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1519,2004,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1520,2005,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1521,2006,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1522,2007,Uttarakhand,Shri Narayan Dutt Tiwari,2002-02-03,2007-07-03,INC
1523,2007,Uttarakhand,Maj.General.B.C.Khanduri,2007-07-03,2009-06-26,BJP
1524,2008,Uttarakhand,Maj.General.B.C.Khanduri,2007-07-03,2009-06-26,BJP
1525,2009,Uttarakhand,Maj.General.B.C.Khanduri,2007-07-03,2009-06-26,BJP
1526,2009,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
1527,2010,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
1528,2011,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
1529,2011,Uttarakhand,Maj.General.B.C.Khanduri,2011-11-09,2012-03-13,BJP
1530,2012,Uttarakhand,Maj.General.B.C.Khanduri,2011-11-09,2012-03-13,BJP
1531,2012,Uttarakhand,Shri Vijaya Bahuguna,2012-03-13,2014-01-31,INC
1532,2013,Uttarakhand,Shri Vijaya Bahuguna,2012-03-13,2014-01-31,INC
1533,2014,Uttarakhand,Shri Vijaya Bahuguna,2012-03-13,2014-01-31,INC
1534,2014,Uttarakhand,Shri Harish Rawat,2014-01-02,2016-03-27,INC
1535,2015,Uttarakhand,Shri Harish Rawat,2014-01-02,2016-03-27,INC
1536,2016,Uttarakhand,Shri Harish Rawat,2014-01-02,2016-03-27,INC
1537,2016,Uttarakhand,President's Rule,2016-03-27,2016-04-21,
1538,2016,Uttarakhand,Shri Harish Rawat,2016-04-21,2016-04-22,INC
1539,2016,Uttarakhand,President's Rule,2016-04-22,2016-11-05,
1540,2016,Uttarakhand,Shri Harish Rawat,2016-11-05,2017-03-18,INC
1541,2017,Uttarakhand,Shri Harish Rawat,2016-11-05,2017-03-18,INC
1542,2017,Uttarakhand,Shri Trivendra Singh Rawat,2017-03-18,2021-09-03,BJP
1543,2018,Uttarakhand,Shri Trivendra Singh Rawat,2017-03-18,2021-09-03,BJP
1544,2019,Uttarakhand,Shri Trivendra Singh Rawat,2017-03-18,2021-09-03,BJP
1545,2020,Uttarakhand,Shri Trivendra Singh Rawat,2017-03-18,2021-09-03,BJP
1546,2021,Uttarakhand,Shri Trivendra Singh Rawat,2017-03-18,2021-09-03,BJP
1547,2021,Uttarakhand,Shri Tirath Singh Rawat,2021-10-03,2021-04-07,
1548,2000,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1549,2001,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1550,2002,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1551,2003,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1552,2004,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1553,2005,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1554,2006,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1555,2007,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1556,2008,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1557,2009,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1558,2010,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
1559,2011,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
