,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
0,29,A&N ISLANDS,38.0,5.0,7.0,36.0,0.0,36.0,16.0,5.0,11.0,0.0,0.0,17.0,76.0,121.0,10.0,111.0,86.0,5.0,6.0,0.0,7.0,114.0,0.0,40.0,8.0,35.0,0.0,1.0,417.0,171.0,1208.0,1037.0,0.14155629139072848,0.8584437086092715
1,1,ANDHRA PRADESH,4604.0,3065.0,240.0,1487.0,0.0,1487.0,2521.0,1889.0,632.0,465.0,153.0,884.0,6584.0,18434.0,4862.0,13572.0,12232.0,1119.0,6874.0,289.0,1230.0,65042.0,1220.0,5441.0,4178.0,19018.0,0.0,11301.0,68539.0,17427.0,257362.0,239935.0,0.06771395932577459,0.9322860406742254
2,2,ARUNACHAL PRADESH,83.0,48.0,4.0,60.0,0.0,60.0,61.0,38.0,23.0,47.0,0.0,53.0,170.0,333.0,45.0,288.0,140.0,24.0,40.0,4.0,25.0,739.0,0.0,70.0,2.0,12.0,0.0,71.0,831.0,477.0,3271.0,2794.0,0.14582696423112199,0.854173035768878
3,3,ASSAM,1866.0,559.0,56.0,1644.0,0.0,1644.0,2875.0,2392.0,483.0,915.0,77.0,1145.0,4258.0,9988.0,1133.0,8855.0,8688.0,900.0,1134.0,134.0,877.0,9487.0,297.0,1614.0,15.0,5753.0,1.0,2639.0,16705.0,13656.0,86134.0,72478.0,0.15854366452272042,0.8414563354772796
4,4,BIHAR,5394.0,6169.0,385.0,1086.0,0.0,1086.0,4727.0,2397.0,2330.0,1994.0,304.0,2873.0,2685.0,8683.0,2917.0,5766.0,38032.0,1554.0,3048.0,127.0,1120.0,26915.0,2908.0,795.0,16.0,4939.0,17.0,3455.0,87779.0,28745.0,219501.0,190756.0,0.13095612320672798,0.869043876793272
5,30,CHANDIGARH,51.0,63.0,15.0,38.0,0.0,38.0,32.0,29.0,3.0,16.0,10.0,45.0,85.0,484.0,157.0,327.0,272.0,21.0,148.0,6.0,3.0,101.0,3.0,39.0,6.0,28.0,0.0,8.0,880.0,340.0,2908.0,2568.0,0.11691884456671252,0.8830811554332875
6,5,CHHATTISGARH,1739.0,1350.0,31.0,1128.0,0.0,1128.0,373.0,267.0,106.0,406.0,80.0,891.0,2772.0,3560.0,864.0,2696.0,5409.0,167.0,848.0,45.0,324.0,16261.0,353.0,1817.0,235.0,2462.0,0.0,1970.0,24849.0,7499.0,72131.0,64632.0,0.10396362174377174,0.8960363782562283
7,31,D&N HAVELI,7.0,12.0,4.0,5.0,0.0,5.0,16.0,12.0,4.0,20.0,0.0,2.0,50.0,60.0,2.0,58.0,281.0,16.0,15.0,0.0,2.0,36.0,0.0,2.0,0.0,0.0,0.0,13.0,153.0,87.0,775.0,688.0,0.11225806451612903,0.8877419354838709
8,32,DAMAN & DIU,11.0,12.0,6.0,1.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,5.0,45.0,22.0,6.0,16.0,183.0,4.0,5.0,0.0,3.0,12.0,0.0,5.0,1.0,4.0,0.0,28.0,97.0,48.0,479.0,431.0,0.10020876826722339,0.8997912317327766
9,33,DELHI,889.0,716.0,103.0,557.0,0.0,557.0,625.0,375.0,250.0,172.0,328.0,1093.0,1241.0,7918.0,3394.0,4524.0,406.0,188.0,1554.0,54.0,15.0,3106.0,242.0,710.0,132.0,658.0,0.0,708.0,14848.0,5665.0,45363.0,39698.0,0.12488151136388687,0.8751184886361131
