,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
10,6,GOA,88.0,88.0,12.0,56.0,0.0,56.0,40.0,18.0,22.0,16.0,0.0,51.0,248.0,430.0,115.0,315.0,305.0,46.0,120.0,7.0,34.0,316.0,3.0,35.0,10.0,46.0,0.0,185.0,988.0,447.0,3650.0,3203.0,0.12246575342465753,0.8775342465753425
11,7,GUJARAT,2130.0,2199.0,39.0,610.0,0.0,610.0,1848.0,1494.0,354.0,1016.0,60.0,1452.0,3230.0,10263.0,3734.0,6529.0,10566.0,1986.0,1585.0,110.0,457.0,20253.0,53.0,1025.0,188.0,17595.0,0.0,3854.0,74160.0,11812.0,167400.0,155588.0,0.0705615292712067,0.9294384707287933
12,8,HARYANA,1842.0,1685.0,103.0,848.0,0.0,848.0,909.0,530.0,379.0,540.0,1031.0,1214.0,2835.0,5855.0,2871.0,2984.0,5465.0,610.0,1385.0,50.0,175.0,10220.0,633.0,553.0,717.0,3661.0,0.0,1125.0,25696.0,9929.0,74764.0,64835.0,0.13280455834358781,0.8671954416564122
13,9,HIMACHAL PRADESH,191.0,146.0,26.0,250.0,0.0,250.0,148.0,102.0,46.0,28.0,0.0,39.0,513.0,605.0,147.0,458.0,3002.0,108.0,214.0,4.0,84.0,1919.0,3.0,345.0,40.0,648.0,0.0,383.0,10303.0,1226.0,20002.0,18776.0,0.06129387061293871,0.9387061293870613
14,10,JAMMU & KASHMIR,432.0,947.0,20.0,303.0,0.0,303.0,725.0,696.0,29.0,10.0,0.0,110.0,762.0,3148.0,263.0,2885.0,5837.0,129.0,470.0,52.0,123.0,727.0,46.0,2044.0,512.0,469.0,0.0,337.0,16216.0,3575.0,37595.0,34020.0,0.09509243250432238,0.9049075674956776
15,11,JHARKHAND,1975.0,1816.0,110.0,765.0,0.0,765.0,836.0,397.0,439.0,788.0,160.0,779.0,634.0,3862.0,1437.0,2425.0,7499.0,519.0,826.0,35.0,240.0,6023.0,562.0,327.0,38.0,1560.0,20.0,956.0,21228.0,8830.0,57021.0,48191.0,0.15485522877536345,0.8451447712246365
16,12,KARNATAKA,3287.0,3978.0,112.0,595.0,0.0,595.0,1094.0,506.0,588.0,868.0,1570.0,1812.0,3346.0,7010.0,2283.0,4727.0,25783.0,358.0,2771.0,118.0,375.0,30678.0,666.0,3159.0,40.0,5784.0,0.0,452.0,56125.0,15005.0,158680.0,143675.0,0.0945613813965213,0.9054386186034787
17,13,KERALA,710.0,1176.0,157.0,694.0,0.0,694.0,436.0,202.0,234.0,586.0,852.0,1113.0,2408.0,4439.0,1370.0,3069.0,36777.0,240.0,2801.0,102.0,485.0,27732.0,32.0,3238.0,456.0,5828.0,0.0,51.0,71703.0,6854.0,167585.0,160731.0,0.04089864844705672,0.9591013515529433
18,34,LAKSHADWEEP,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,87.0,0.0,0.0,0.0,35.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,10.0,234.0,224.0,0.042735042735042736,0.9572649572649573
19,14,MADHYA PRADESH,5265.0,6401.0,218.0,4243.0,6.0,4237.0,1630.0,1060.0,570.0,701.0,835.0,3430.0,6682.0,13216.0,3762.0,9454.0,16364.0,685.0,2347.0,66.0,1233.0,84031.0,2474.0,7567.0,1047.0,11182.0,2.0,5702.0,156657.0,28596.0,351067.0,322471.0,0.0814545371681189,0.9185454628318811
20,15,MAHARASHTRA,5904.0,6532.0,163.0,2075.0,0.0,2075.0,2043.0,1388.0,655.0,4062.0,1366.0,5023.0,12497.0,30620.0,7130.0,23490.0,54341.0,2465.0,8731.0,300.0,1637.0,55593.0,1233.0,3938.0,1337.0,29493.0,0.0,9162.0,56238.0,31286.0,329491.0,298205.0,0.09495251767119588,0.9050474823288042
21,16,MANIPUR,85.0,103.0,0.0,22.0,0.0,22.0,119.0,95.0,24.0,0.0,173.0,0.0,30.0,74.0,24.0,50.0,41.0,8.0,64.0,1.0,14.0,199.0,0.0,40.0,1.0,25.0,0.0,0.0,443.0,643.0,1657.0,1014.0,0.38805069402534703,0.611949305974653
22,17,MEGHALAYA,130.0,33.0,9.0,110.0,0.0,110.0,58.0,17.0,41.0,119.0,0.0,65.0,91.0,326.0,60.0,266.0,4.0,23.0,34.0,7.0,35.0,118.0,0.0,42.0,1.0,6.0,2.0,59.0,405.0,692.0,2171.0,1479.0,0.3187471211423307,0.6812528788576693
23,18,MIZORAM,29.0,15.0,10.0,81.0,1.0,80.0,4.0,0.0,4.0,0.0,0.0,4.0,313.0,802.0,77.0,725.0,2.0,29.0,71.0,20.0,29.0,151.0,0.0,78.0,1.0,4.0,0.0,36.0,360.0,228.0,2926.0,2698.0,0.07792207792207792,0.922077922077922
24,19,NAGALAND,27.0,31.0,5.0,27.0,0.0,27.0,73.0,8.0,65.0,4.0,0.0,96.0,45.0,260.0,31.0,229.0,5.0,8.0,82.0,4.0,2.0,66.0,0.0,13.0,0.0,0.0,0.0,15.0,340.0,363.0,1463.0,1100.0,0.24812030075187969,0.7518796992481203
25,20,ODISHA,1859.0,2037.0,66.0,1119.0,0.0,1119.0,1013.0,814.0,199.0,1491.0,380.0,2110.0,2300.0,6263.0,1889.0,4374.0,8190.0,424.0,1166.0,49.0,689.0,10308.0,857.0,3589.0,297.0,2915.0,0.0,3402.0,30071.0,12207.0,88990.0,76783.0,0.1371727160355096,0.8628272839644904
26,35,PUDUCHERRY,167.0,87.0,28.0,1.0,0.0,1.0,24.0,11.0,13.0,20.0,21.0,20.0,77.0,294.0,106.0,188.0,1118.0,6.0,52.0,1.0,5.0,1825.0,0.0,53.0,21.0,21.0,0.0,243.0,2418.0,393.0,6821.0,6428.0,0.05761618531007184,0.9423838146899282
27,21,PUNJAB,1489.0,2520.0,157.0,681.0,0.0,681.0,816.0,566.0,250.0,101.0,468.0,292.0,1980.0,4306.0,1561.0,2745.0,3.0,266.0,3661.0,152.0,149.0,10321.0,323.0,355.0,50.0,1871.0,0.0,2836.0,13465.0,8021.0,52065.0,44044.0,0.1540574282147316,0.8459425717852684
28,22,RAJASTHAN,2297.0,4156.0,102.0,1388.0,0.0,1388.0,1828.0,1138.0,690.0,212.0,273.0,1224.0,3476.0,8399.0,3174.0,5225.0,5592.0,272.0,4359.0,77.0,684.0,39019.0,553.0,2692.0,24.0,9326.0,0.0,6749.0,97295.0,14696.0,201612.0,186916.0,0.07289248655833978,0.9271075134416602
29,23,SIKKIM,17.0,11.0,4.0,19.0,0.0,19.0,7.0,7.0,0.0,4.0,0.0,7.0,100.0,58.0,12.0,46.0,155.0,7.0,11.0,4.0,4.0,129.0,0.0,36.0,0.0,12.0,0.0,55.0,253.0,95.0,977.0,882.0,0.09723643807574207,0.9027635619242579
30,24,TAMIL NADU,3602.0,5728.0,20.0,776.0,0.0,776.0,1779.0,1312.0,467.0,447.0,87.0,1581.0,3749.0,14608.0,3679.0,10929.0,12956.0,173.0,2488.0,131.0,538.0,34011.0,430.0,1916.0,568.0,2697.0,0.0,11544.0,108848.0,16575.0,225840.0,209265.0,0.07339266737513284,0.9266073326248672
31,25,TRIPURA,206.0,75.0,4.0,336.0,0.0,336.0,176.0,125.0,51.0,26.0,0.0,85.0,209.0,389.0,30.0,359.0,451.0,61.0,147.0,29.0,67.0,2072.0,60.0,434.0,10.0,1760.0,0.0,225.0,2162.0,1420.0,9885.0,8465.0,0.14365199797673242,0.8563480020232676
32,26,UTTAR PRADESH,12365.0,10499.0,3551.0,2918.0,0.0,2918.0,12393.0,10487.0,1906.0,1649.0,292.0,4655.0,4178.0,16084.0,4522.0,11562.0,26919.0,6252.0,17605.0,786.0,424.0,23735.0,9203.0,4026.0,3878.0,31807.0,0.0,11637.0,80430.0,63633.0,316681.0,253048.0,0.20093722073632456,0.7990627792636754
33,27,UTTARAKHAND,388.0,324.0,67.0,138.0,0.0,138.0,213.0,191.0,22.0,104.0,36.0,259.0,318.0,1132.0,332.0,800.0,1541.0,118.0,556.0,43.0,16.0,1156.0,218.0,178.0,419.0,890.0,0.0,572.0,3143.0,1880.0,13312.0,11432.0,0.14122596153846154,0.8587740384615384
34,28,WEST BENGAL,3498.0,1590.0,645.0,1748.0,0.0,1748.0,2291.0,28136.0,333.0,674.0,2509.0,830.0,466.0,12298.0,1909.0,10389.0,14870.0,804.0,2618.0,200.0,346.0,10877.0,1002.0,1640.0,120.0,13884.0,7.0,2456.0,38240.0,44002.0,156128.0,112126.0,0.28183285509325684,0.7181671449067432
